file,conversation,sample_id,rq,group,item,metric,watermark,no_watermark,signed_metadata_only,random_replace
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.1,tamper_detection_rate,0.0995850622406639,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.3,bit_recovery_post,0.7073170731707317,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.3,leaves_affected,217,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.3,name,paraphrase_rewrite,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.3,tamper_detection_rate,0.30013831258644535,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.5,bit_recovery_post,0.5365853658536586,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.5,leaves_affected,362,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.5,name,paraphrase_rewrite,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.5,strength,0.5,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=paraphrase_rewrite;strength=0.5,tamper_detection_rate,0.5006915629322268,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.1,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.1,leaves_affected,72,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.1,name,poisoning,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.1,tamper_detection_rate,0.09056603773584905,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.3,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.3,leaves_affected,217,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.3,name,poisoning,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.3,tamper_detection_rate,0.23085106382978723,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.5,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.5,leaves_affected,362,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.5,name,poisoning,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.5,strength,0.5,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=poisoning;strength=0.5,tamper_detection_rate,0.3336405529953917,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.1,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.1,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.1,leaves_affected,72,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.1,name,pruning,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.1,strength,0.1,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.1,tamper_detection_rate,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.3,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.3,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.3,leaves_affected,217,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.3,name,pruning,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.3,strength,0.3,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.3,tamper_detection_rate,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.5,bit_recovery_post,0.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.5,bit_recovery_pre,1.0,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.5,leaves_affected,362,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.5,name,pruning,,,
conv1.json,1,conv-30,RQ4 Robustness,outcomes,attack=pruning;strength=0.5,strength,0.5,,,
